#,"Player Answered Question ID","[Question] Question ID","[Question] Question","[Question] Question Type","[Question] Points","[Question] Time Limit","Points Attained","Time Answered","Advertisement Name","Billboard Location"
1,"1","2","Who is the model of Goldilocks which is considered one of the most beautiful person in the world","Multiple Choice","400.00","60.00","123213","2017-04-07 13:47:11","Goldilocks Heart Shaped Mamon","105 Epifanio de los Santos Ave, Mandaluyong, 1550 Metro Manila, Philippines"
2,"4","2","Who is the model of Goldilocks which is considered one of the most beautiful person in the world","Multiple Choice","400.00","60.00","12333","2017-04-07 13:47:28","Goldilocks Heart Shaped Mamon","105 Epifanio de los Santos Ave, Mandaluyong, 1550 Metro Manila, Philippines"
3,"5","2","Who is the model of Goldilocks which is considered one of the most beautiful person in the world","Multiple Choice","400.00","60.00","12333","2017-04-07 13:47:52","Goldilocks Heart Shaped Mamon","105 Epifanio de los Santos Ave, Mandaluyong, 1550 Metro Manila, Philippines"
4,"7","2","Who is the model of Goldilocks which is considered one of the most beautiful person in the world","Multiple Choice","400.00","60.00","123","2017-04-10 02:26:00","Goldilocks Heart Shaped Mamon","105 Epifanio de los Santos Ave, Mandaluyong, 1550 Metro Manila, Philippines"
5,"10","2","Who is the model of Goldilocks which is considered one of the most beautiful person in the world","Multiple Choice","400.00","60.00","333","0000-00-00 00:00:00","Goldilocks Heart Shaped Mamon","105 Epifanio de los Santos Ave, Mandaluyong, 1550 Metro Manila, Philippines"
6,"2","3","What is the color of the shirt","Identification","40.00","60.00","12","2017-04-07 13:47:11","Bench Summer Outfit","Doña Julia Vargas Ave, Ortigas Center, Mandaluyong, Metro Manila, Philippines"
7,"3","4","what is the color of the models t shirt","Identification","5.00","12.00","10","2017-04-07 13:47:11","Bench Summer Outfit","Doña Julia Vargas Ave, Ortigas Center, Mandaluyong, Metro Manila, Philippines"
8,"6","4","what is the color of the models t shirt","Identification","5.00","12.00","1233","0000-00-00 00:00:00","Bench Summer Outfit","Doña Julia Vargas Ave, Ortigas Center, Mandaluyong, Metro Manila, Philippines"
9,"8","3","What is the color of the shirt","Identification","40.00","60.00","12","2017-04-10 00:00:00","Bench Summer Outfit","Doña Julia Vargas Ave, Ortigas Center, Mandaluyong, Metro Manila, Philippines"
10,"9","3","What is the color of the shirt","Identification","40.00","60.00","444","0000-00-00 00:00:00","Bench Summer Outfit","Doña Julia Vargas Ave, Ortigas Center, Mandaluyong, Metro Manila, Philippines"
10,"55","27","","","2,130.00","504.00","","","",""
